OBJECTID;NAME;ITEM_NUMBER;TYPE_STATION;CLASS_STATION;TYPE_DISTRIBUTIE;YEAR_OF_CONSTRUCTION;EIGENAAR;STATUS_KAST;POSITIONDETERMINATION;ROAD;HOUSE_NUMBER;ADDRESS;LEVERANCIER;DATE_MODIFIED;BEHEERDER_OMS;FABRIKAAT;NAAM;NADERE_ADRES_AAND;POSTCODE;TOEGANGS_AANDUIDING_TEKST;WOONPLAATS;X;Y;LONG;LAT
329;H165;H165;Station;Station 10/0,4 kV/OV;Zelfbouw;1951-07-01;Stedin;In bedrijf;;HARDENBROEKSTR;5;;ENECO;2012-01-26;Stedin;ENECO;;Openbare weg;2532XR;10;S GRAVENHAGE;79794.4459999986;451304.1305;4.290933467145056;52.04494831516271
332;H166;H166;Station;Station 10/0,4 kV/OV;Onbekend;1952-07-01;Stedin;In bedrijf;;LOEVESTEINLN;598/610;;Onbekend;2012-01-26;Stedin;Onbekend;;Openbare weg;2533CL;10;S GRAVENHAGE;79899.82800000161;451152.60200000205;4.292502643309256;52.04360085298094
333;H174;H174;Station;Station 10/0,4 kV/OV;Zelfbouw;1950-07-01;Stedin;In bedrijf;;R VISSCHERSTR;133;;ENECO;2012-01-26;Stedin;ENECO;;Openbare weg;2533VE;10;S GRAVENHAGE;79901.02549999951;452105.202;4.292310757592504;52.052161795293955
335;H175;H175;Station;Station 10/0,4 kV/OV;Zelfbouw;1950-07-01;Stedin;In bedrijf;;TESSELSCHADELN;151;;ENECO;2012-01-26;Stedin;ENECO;;Openbare weg;2533KT;10;S GRAVENHAGE;80058.818500001;452051.028999999;4.294622754946256;52.05169631619673
336;H167;H167;Station;Station 10/0,4 kV/OV;Zelfbouw;1952-07-01;Stedin;In bedrijf;;RYNAUWENSTR;105;;ENECO;2012-01-26;Stedin;ENECO;;Openbare weg;2532VC;10;S GRAVENHAGE;80074.3559999987;451317.73600000096;4.295010016217088;52.04510849064935
498;D181;D181;Station;Station 10/0,4 kV/OV;Zelfbouw;1956-07-01;Stedin;In bedrijf;;SNEEUWKLOKJESTR;3;;ENECO;2012-01-25;Stedin;ENECO;NAAST 3;Openbare weg;2565GL;10;S GRAVENHAGE;77852.1140000001;455035.774;4.261782277717295;52.07821639318057
517;D184;D184;Station;Station 10/0,4 kV/OV;Zelfbouw;1955-07-01;Stedin;In bedrijf;;TROUBADOURSTR;14;;ENECO;2012-01-25;Stedin;ENECO;;Openbare weg;2555VA;10;S GRAVENHAGE;76589.0579999983;453673.010000002;4.243673571776517;52.065792382090464
522;D195;D195;Station;Station 10/0,4 kV/OV;Zelfbouw;1939-07-01;Stedin;In bedrijf;;KERSENSTR;5;;ENECO;2012-01-25;Stedin;ENECO;;Openbare weg;2564BA;10;S GRAVENHAGE;76892.0164999999;453858.1415;4.248048667205355;52.06749888669486
534;D174;D174;Station;Station 10/0,4 kV/OV;Zelfbouw;1956-07-01;Stedin;In bedrijf;;ZONNEBLOEMSTR;161;;ENECO;2012-01-25;Stedin;ENECO;NAAST 161;Openbare weg;2565RT;10;S GRAVENHAGE;77326.6605000012;454535.672499999;4.254232306347116;52.07364872011507
582;D199;D199;Station;Station 10/0,4 kV/OV;Zelfbouw;1958-07-01;Stedin;In bedrijf;;KIEVITSBLOEMLN;86;;ENECO;2012-01-25;Stedin;ENECO;ACHTER 68;Openbare weg;2555LC;10;S GRAVENHAGE;75509.3795000017;453303.337000001;4.228016875371538;52.062316417211086
